No,商品コード,商品名称,細分類コード,細分類名称,メーカーコード,メーカー名称,出現日,容量,年月,地区コード,地区名称,金額,数量,平均価格,金額／販売店千人,数量／販売店千人,数量／店,販売店率
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年05月,13,東京,1115129,11238,99.23,370.863,3.737,274.10,56.16%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年05月,27,大阪,1720635,18102,95.05,487.576,5.130,329.13,87.30%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年06月,13,東京,720964,6936,103.95,233.404,2.245,154.13,61.64%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年06月,27,大阪,1128268,11081,101.82,333.233,3.273,205.20,85.71%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年07月,13,東京,741994,7108,104.39,238.048,2.280,169.24,57.53%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年07月,27,大阪,1700419,17233,98.67,476.673,4.831,313.33,87.30%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年08月,13,東京,632220,5753,109.89,210.154,1.912,136.98,57.53%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年08月,27,大阪,1574405,15285,103.00,450.850,4.377,277.91,87.30%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年09月,13,東京,586312,5265,111.36,186.862,1.678,119.66,60.27%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年09月,27,大阪,1275610,12301,103.70,374.616,3.613,223.65,87.30%
8,4902105252499,日清　おいしいカップヌードル　カレー　７０ｇ,111203,カップ麺,4902105,日清食品,2018年08月26日,70,2023年10月,13,東京,1177984,11268,104.54,412.314,3.944,288.92,53.42%
