Date,Close,High,Low,Open,Volume
2016/6/22,1298.169189,1312.874889,1296.427672,1310.165888,4565500
2016/6/23,1257.535034,1279.206569,1254.826033,1277.078153,8677000
2016/6/24,1190.972412,1269.145141,1153.240549,1267.403623,10279500
2016/6/27,1228.51062,1236.637387,1189.037245,1190.004729,5589500
2016/6/28,1249.98877,1260.824538,1212.45036,1219.222745,5982000
2016/6/29,1285.978882,1286.752916,1250.375564,1269.338215,5131000
2016/6/30,1281.722168,1303.200254,1279.206616,1295.073369,6892500
2016/7/1,1297.782593,1304.941995,1287.140273,1293.138624,3465000
2016/7/4,1309.972534,1317.131935,1296.814783,1300.2977,4038500
2016/7/5,1286.946411,1306.683097,1275.33661,1306.10263,3921000
2016/7/6,1277.271606,1277.271606,1249.98862,1260.050472,5480500
2016/7/7,1260.244019,1281.528656,1252.310701,1280.174156,4039000
2016/7/8,1230.445557,1276.691197,1229.091056,1263.920462,5705500
2016/7/11,1230.445557,1230.445557,1230.445557,1230.445557,0
2016/7/12,1280.367188,1301.458249,1277.851755,1286.752552,4882000
2016/7/13,1271.853882,1309.585741,1265.468514,1302.426339,4087000
2016/7/14,1285.398682,1294.686501,1278.04583,1279.013314,3058500
2016/7/15,1243.409668,1284.043972,1239.539734,1284.043972,7550000
2016/7/19,1271.273193,1271.466643,1238.572207,1262.759292,7497000
2016/7/20,1268.951172,1268.951172,1248.440572,1260.050372,5237500
2016/7/21,1268.564209,1279.787111,1263.920359,1277.07811,4207500
2016/7/22,1264.113892,1276.691177,1255.600108,1260.050508,2854000
2016/7/25,1267.596436,1280.947751,1260.050137,1260.243587,3177500
2016/7/26,1261.985352,1268.757735,1254.051917,1261.404885,2951000
2016/7/27,1286.946411,1295.266863,1267.016276,1271.079777,3773500
2016/7/28,1250.762695,1262.952964,1228.897474,1261.211446,7780500
2016/7/29,1259.663208,1260.824141,1221.737911,1236.44361,8172500
2016/8/1,1246.118652,1253.471503,1229.477985,1249.795137,4582500
2016/8/2,1210.515137,1245.344538,1209.93467,1245.344538,5286000
2016/8/3,1206.452026,1210.321961,1176.847052,1195.809707,4838000
2016/8/4,1204.130005,1216.707291,1194.842186,1213.030924,3781000
2016/8/5,1188.263184,1210.321855,1182.8453,1201.807953,5804000
2016/8/8,1194.841797,1205.290663,1186.134448,1201.033713,3088000
2016/8/9,1200.26001,1208.386895,1192.133125,1197.938026,3990000
2016/8/10,1204.130005,1211.869873,1189.617752,1200.066621,3386500
2016/8/12,1209.741089,1214.191488,1202.001223,1209.354072,3003500
2016/8/15,1214.772339,1225.027641,1207.03247,1209.741472,2698000
2016/8/16,1196.583618,1217.094221,1193.100583,1216.320187,4449500
2016/8/17,1189.424561,1203.5498,1188.07006,1195.80993,3487000
2016/8/18,1183.619263,1195.229064,1182.264762,1188.263112,4046500
2016/8/19,1164.656738,1185.360792,1159.238736,1184.199859,5498500
2016/8/22,1172.977173,1174.91214,1159.432402,1162.141285,3253000
2016/8/23,1181.877563,1196.389813,1164.075847,1168.719814,4551000
2016/8/24,1189.230347,1191.55233,1170.848165,1182.844981,4303000
2016/8/25,1198.131592,1205.677892,1186.908807,1190.004707,3096500
2016/8/26,1173.557495,1193.487632,1173.557495,1192.713716,3374500
2016/8/29,1170.848511,1191.939699,1170.655061,1188.263214,2946500
2016/8/30,1162.141235,1174.138055,1160.206268,1168.91362,4405000
2016/8/31,1172.396606,1173.750989,1159.238736,1170.655089,3531000
2016/9/1,1169.300781,1172.203232,1163.108862,1168.913764,3296000
2016/9/2,1197.357422,1199.485956,1166.78497,1168.719937,4114000
2016/9/5,1208.193604,1214.385404,1199.292683,1212.063538,3521500
2016/9/6,1226.188599,1231.799932,1205.484428,1211.869796,3668500
2016/9/7,1223.673096,1233.154363,1219.609594,1224.834029,3664000
2016/9/8,1201.034302,1221.738477,1196.970799,1221.738477,3938000
2016/9/9,1186.13501,1199.486332,1183.039109,1191.939912,4085000
2016/9/12,1177.427612,1181.490996,1174.525161,1179.36258,2416500
2016/9/13,1175.685669,1180.716653,1165.430369,1179.942619,3547000
2016/9/14,1171.622437,1183.619255,1171.23542,1172.009454,2788000
2016/9/15,1167.945801,1171.235268,1163.108384,1169.493869,2806000
2016/9/16,1196.776855,1199.485856,1169.300306,1174.524739,4624000
2016/9/20,1192.132935,1201.420869,1184.780085,1196.776902,3594500
2016/9/21,1207.806274,1208.773758,1183.61919,1188.650056,3627500
2016/9/23,1227.543213,1231.993614,1203.162556,1207.419507,4685000
2016/9/26,1201.614624,1224.447213,1199.09919,1222.899263,4519500
2016/9/27,1212.063599,1216.707449,1191.552874,1202.388762,8422000
2016/9/28,1202.07019,1212.742323,1188.875578,1202.458292,4471000
2016/9/29,1208.473755,1212.742633,1196.443324,1212.742633,3606500
2016/9/30,1190.233887,1195.666949,1171.024001,1193.144468,5697000
2016/10/3,1189.845825,1201.682143,1187.129235,1193.3385,2888000
2016/10/4,1180.726074,1190.816115,1171.412236,1190.428014,5891000
2016/10/5,1184.606689,1189.84576,1178.591535,1184.412698,4073000
2016/10/6,1186.353149,1189.457723,1179.755784,1187.517335,3098000
2016/10/7,1172.964355,1187.129162,1171.60606,1183.636488,3833000
2016/10/11,1171.412231,1173.740721,1164.426764,1171.994324,3921500
2016/10/12,1176.263306,1185.771136,1170.248031,1171.994428,3711500
2016/10/13,1170.053955,1185.577059,1165.396977,1182.278376,4256500
2016/10/14,1166.949219,1173.158365,1157.829373,1170.053792,6132500
2016/10/17,1163.844482,1174.904716,1159.575606,1167.337156,4265000
2016/10/18,1170.442261,1171.024354,1158.023728,1166.173383,3895000
2016/10/19,1163.844482,1171.800143,1161.322002,1164.426575,3975000
2016/10/20,1165.591309,1170.054178,1162.292625,1162.486616,3484500
2016/10/21,1214.876831,1222.2504,1174.322795,1179.755857,12477500
2016/10/24,1206.339355,1213.906798,1200.906292,1213.906798,3641000
2016/10/25,1205.562988,1209.831865,1194.502753,1194.890855,2980500
2016/10/26,1206.921509,1209.832091,1200.906353,1203.040732,2461000
2016/10/27,1204.20459,1213.712537,1201.682109,1207.503273,2904000
2016/10/28,1205.174805,1208.861589,1199.15965,1206.144999,3593000
2016/10/31,1190.816162,1207.697562,1188.099571,1205.174963,3732500
2016/11/1,1185.770996,1189.069679,1176.457158,1184.800802,3445500
2016/11/2,1181.696289,1188.681638,1171.606248,1178.009504,3775500
2016/11/4,1167.531616,1177.81565,1161.32235,1173.934874,4527000
2016/11/7,1172.188354,1179.561924,1167.143393,1175.487038,3178000
2016/11/8,1165.009033,1173.740779,1160.740156,1172.188374,4154500
2016/11/9,1143.470825,1183.248786,1129.888107,1166.949595,7765000
2016/11/10,1163.068359,1181.307932,1157.441188,1180.531848,6074500
2016/11/11,1147.351196,1165.590888,1142.888328,1165.396778,8275000
2016/11/14,1145.992798,1153.366365,1142.112023,1152.00807,6111000
2016/11/15,1137.649658,1145.993304,1134.350974,1145.993304,5527000
2016/11/16,1144.440552,1148.127335,1136.096909,1145.798847,5005000
2016/11/17,1155.88916,1159.381835,1141.530242,1143.082528,3869500
2016/11/18,1158.02356,1163.844724,1153.560691,1162.292437,3223000
2016/11/21,1174.516968,1176.651466,1162.874638,1164.232934,3794500
2016/11/22,1178.7854,1185.188655,1176.26292,1176.456912,3483000
2016/11/24,1185.576782,1188.487364,1179.75562,1185.576782,2456000
2016/11/25,1211.384277,1212.742573,1184.024852,1185.771131,5874500
2016/11/28,1217.399658,1225.743304,1212.548687,1212.742679,4542000
2016/11/29,1209.831909,1211.772297,1198.189581,1204.010745,3316500
2016/11/30,1264.551025,1267.073506,1217.981708,1217.981708,13722500
2016/12/1,1257.565308,1268.043449,1247.475386,1267.073255,6150000
2016/12/2,1241.072144,1255.431062,1234.086794,1255.237071,4545500
2016/12/5,1223.608521,1239.325733,1218.56356,1232.922477,3556500
2016/12/6,1227.489502,1236.997451,1222.832641,1236.027257,4627000
2016/12/7,1236.997192,1237.191184,1215.070834,1229.04165,4027000
2016/12/8,1241.654053,1251.161881,1232.146106,1241.848044,5005000
2016/12/9,1248.833618,1256.013077,1234.086717,1234.086717,5950500
2016/12/12,1257.565308,1270.56593,1250.191858,1261.834185,5449000
2016/12/13,1286.477173,1286.477173,1262.222324,1266.1031,6228000
2016/12/14,1283.178467,1304.328742,1279.297691,1300.059865,4919500
2016/12/15,1292.492432,1295.597124,1275.417041,1282.5965,4026000
2016/12/16,1298.50769,1308.403622,1289.969936,1300.059977,3854000
2016/12/19,1296.76123,1302.194293,1287.447392,1297.343323,2905000
2016/12/20,1301.612427,1303.358824,1285.313236,1290.358198,3003500
2016/12/21,1294.626953,1306.463273,1291.716371,1303.940792,2933500
2016/12/22,1290.745972,1293.074461,1281.238024,1281.432134,2748500
2016/12/26,1292.104492,1294.432863,1286.671311,1290.358096,2147000
2016/12/27,1284.148682,1294.820815,1282.984496,1290.551938,2342500
2016/12/28,1290.552002,1295.985183,1283.178551,1285.507041,2417000
2016/12/29,1290.940063,1293.268553,1282.790411,1290.746072,2955000
2016/12/30,1281.820435,1291.328384,1280.656249,1286.671405,2715000
2017/1/4,1277.551514,1290.746128,1273.864729,1288.417639,4929000
2017/1/5,1295.985229,1299.477904,1277.939526,1278.133636,4441000
2017/1/6,1311.508423,1314.419005,1295.985317,1296.179309,4499500
2017/1/10,1298.50769,1316.553275,1296.373193,1313.642693,3747000
2017/1/11,1296.373047,1298.895646,1290.551883,1296.373047,2664500
2017/1/12,1270.760132,1295.014982,1268.237533,1290.358003,4512500
2017/1/13,1270.177612,1273.282303,1262.222071,1267.849242,3297500
2017/1/16,1262.222168,1274.640696,1256.012904,1269.983719,2594500
2017/1/17,1245.34082,1268.625473,1241.848146,1267.073187,3547500
2017/1/18,1226.325317,1247.281486,1219.533959,1244.565013,5091000
2017/1/19,1236.802979,1243.982317,1229.623521,1231.369799,3884500
2017/1/20,1242.236328,1247.66939,1228.653613,1237.385358,2356000
2017/1/23,1223.026123,1237.773138,1223.026123,1237.773138,2745000
2017/1/24,1222.638184,1230.011751,1214.682642,1219.533611,3847000
