会社名,コード,格付,格付2,クレジットウォッチ,DmySP,株価終値,売買単位,発行株式数,企業価値,営業純利益,減価償却費,減損損失,繰延法人税,負債合計,利子支払,税支払,営業活動からのキャッシュフロー,設備投資費用,売上総収益,期首資本,期末資本,総資産,純資産,新株予約権,自己資本,企業分類
ホクト,1379,A,-,安定的,NonSP,1922,100,33359040,64116074880,6262,6907,299,0,46096,80,1338,10471,3995,21901,50545,54140,100237,54140,0,54140,General
ミライト・ワン,1417,A,,ポジティブ,NonSP,2151,100,108325329,2.33008E+11,36242,6298,117,0,127428,48,9066,41602,8383,60790,218710,231323,358751,231323,0,226389,General
日鉄鉱業,1515,A,-,安定的,NonSP,6000,100,8352319,50113914000,6603,5302,912,0,72323,272,2803,9414,6775,27054,105208,116411,188735,116411,0,111075,General
高松コンストラクショングループ,1762,A,-,安定的,NonSP,2018,100,38880000,78459840000,12028,1266,0,0,105075,201,5955,4116,3450,38305,110139,115756,220831,115756,0,115716,General
大成建設,1801,AA,-,安定的,NonSP,3675,100,224541172,8.25189E+11,135416,10459,323,0,1026201,970,52650,67494,0,218798,753915,844420,1870622,844420,0,840845,General
大林組,1802,AA,-,安定的,NonSP,891,100,721509646,6.42865E+11,134573,20038,1188,0,1310648,1866,47753,24803,0,225784,850498,961979,2272628,961979,0,931009,General
清水建設,1803,AA,-,安定的,NonSP,803,100,788514613,6.33177E+11,110843,16710,0,0,1087227,3033,44966,80674,122892,190417,736412,821446,1908674,821446,0,815289,General
長谷工コーポレーション,1808,A,+,安定的,NonSP,1476,100,300794397,4.43973E+11,70866,5266,156,0,559294,1353,10622,31876,0,136231,387682,394365,953659,394365,0,394360,General
西松建設,1820,A,,安定的,NonSP,3550,100,55591502,1.9735E+11,23998,3350,280,0,264903,443,6778,4907,0,39761,199287,207537,472440,207537,0,205983,General
三井住友建設,1821,A,-,安定的,NonSP,482,100,162673321,78408540722,13500,2701,0,0,266518,1082,5813,16723,2703,38935,102443,110308,376826,110308,0,102406,General
大豊建設,1822,BBB,+,ネガティブ,J2,4245,100,18433163,78248776935,9513,1038,0,0,96769,67,2392,4357,7270,15097,64988,74130,170899,74130,307,73172,General
矢作建設工業,1870,BBB,+,安定的,NonSP,703,100,44607457,31359042271,5630,826,1817,0,75197,111,2252,6757,0,15699,52046,54639,129837,54639,0,54639,General
新日本建設,1879,A,-,安定的,NonSP,857,100,61360720,52586137040,13927,290,0,0,44651,5,3716,7005,28,18297,73274,81901,126552,81901,0,81901,General
五洋建設,1893,A,,安定的,J1,739,100,286013910,2.11364E+11,30165,7394,0,0,293844,667,9817,30690,11041,50038,141299,158403,452248,158403,0,158287,General
大和ハウス工業,1925,AA,,安定的,NonSP,3345,100,666238205,2.22857E+12,311210,78403,21065,0,3159548,10013,111165,430314,0,826883,1773388,1893504,5053052,1893504,91,1835197,General
積水ハウス,1928,AA,,安定的,J1,2161,100,684683466,1.4796E+12,185494,21726,356,0,1256974,2769,58499,191972,87490,473511,1306850,1368887,2625861,1368887,508,1326537,General
エクシオグループ,1951,A,+,安定的,NonSP,2713,100,117812419,3.19625E+11,38665,6789,406,0,202689,148,16953,6301,8841,75865,270109,288884,491574,288884,262,285654,General
日揮ホールディングス,1963,A,+,安定的,J1,978,100,259214827,2.53512E+11,22444,6432,2911,0,284912,180,15455,12467,8719,43782,390979,417616,702529,417616,0,417121,General
高砂熱学工業,1969,A,,安定的,NonSP,2004,100,70239402,1.4076E+11,14616,1537,0,0,135297,270,4776,22568,0,36845,125861,135849,271146,135849,0,132136,General
ニップン,2001,A,,安定的,J1,1573,100,78824009,1.2399E+11,13009,8981,576,0,138891,185,4162,14804,0,95681,158581,169126,308017,169126,234,164268,General
日清製粉グループ本社,2002,AA,,安定的,NonSP,1766,100,304357891,5.37496E+11,29762,22271,977,0,242640,2782,11336,49506,0,189084,409042,444774,687415,444774,116,433089,General
昭和産業,2004,A,-,安定的,J1,2993,100,33985420,1.01718E+11,11422,8816,21,0,110229,190,2508,13769,10506,46638,88721,103080,213309,103080,0,99615,General
中部飼料,2053,A,-,安定的,NonSP,1142,100,30371908,34684718936,5513,3213,0,0,27660,29,2288,5281,0,13579,56210,60272,87932,60272,0,59612,General
DM三井製糖ホールディングス,2109,A,,安定的,J1,1864,100,32639780,60840549920,5251,5440,0,0,55030,99,3452,11124,5680,24331,92395,91680,146710,91680,0,85214,General
パーソルホールディングス,2181,A,,ポジティブ,NonSP,2195,100,236704861,5.19567E+11,28579,10785,167,0,208258,346,11748,37574,3666,201413,163906,175158,383416,175158,0,157123,General
森永製菓,2201,A,,安定的,NonSP,3470,100,54189769,1.88038E+11,18944,7909,32,0,77992,32,7599,12127,19853,105646,105487,123923,201915,123923,0,123007,General
明治ホールディングス,2269,AA,-,安定的,J1,6780,100,152683400,1.03519E+12,103183,48411,2762,0,407642,622,24492,123683,63029,449625,597573,659358,1067000,659358,0,621428,General
日本ハム,2282,A,+,安定的,J1,4415,100,102958904,4.54564E+11,48874,34109,7069,0,381096,1376,10343,82518,0,211734,416597,444309,825405,444309,0,433595,General
丸大食品,2288,BBB,+,ネガティブ,J2,1730,100,26505581,45854655130,734,7798,299,0,55866,233,597,7673,0,49464,75056,77680,133546,77680,0,77068,General
宝ホールディングス,2531,A,,ポジティブ,J1,1271,100,199699743,2.53818E+11,20583,8068,432,0,115383,344,4767,27100,0,115594,181329,191535,306918,191535,0,156885,General
サントリー食品インターナショナル,2587,AA,-,安定的,J1,3835,100,309000000,1.18502E+12,94168,70652,1962,0,714694,2137,28232,134019,0,483855,837565,859556,1574251,859556,0,781755,General
ダイドーグループホールディングス,2590,A,-,安定的,NonSP,5310,100,16568500,87978735000,5252,6383,0,0,74984,200,832,12540,0,83518,89210,82609,157594,82609,0,81604,General
伊藤園,2593,A,+,安定的,J1,6450,100,123459342,7.96313E+11,13395,12427,4056,0,180007,436,5949,25351,0,215003,149695,153057,333065,153057,148,151773,General
日清オイリオグループ,2602,A,,安定的,NonSP,3015,100,33716257,1.01655E+11,12192,8061,1520,0,138894,391,4223,6340,14153,60389,149324,153259,292154,153259,0,145552,General
Jオイルミルズ,2613,A,-,安定的,NonSP,1849,100,33508446,61957116654,8186,4944,19,0,62033,117,2902,4270,3175,33988,89683,94475,156509,94475,0,94105,General
ゲオホールディングス,2681,BBB,+,ポジティブ,NonSP,1220,100,42405952,51735261440,2144,9999,1932,0,96755,230,1859,12428,5783,125223,75016,72982,169738,72982,410,72572,General
JALUX,2729,BBB,,安定的,J2,1667,100,12775000,21295925000,3611,987,325,0,27590,107,68,3825,425,12518,28046,24685,52276,24685,0,23465,General
エディオン,2730,A,,安定的,NonSP,1130,100,112005636,1.26566E+11,25273,10629,1350,0,192369,246,470,42964,5559,225638,180400,193841,386210,193841,0,193841,General
あらた,2733,A,-,安定的,NonSP,4260,100,18027640,76797746400,12164,4290,0,0,164437,174,3235,14071,4011,85708,82901,91017,255455,91017,0,91017,General
双日,2768,BBB,-,安定的,SP,334,100,1251499501,4.18001E+11,29417,31850,5470,0,1645476,11774,9405,84972,23889,188120,621898,654639,2300115,654639,0,619111,General
双日,2768,A,-,安定的,J1,334,100,1251499501,4.18001E+11,29417,31850,5470,0,1645476,11774,9405,84972,23889,188120,621898,654639,2300115,654639,0,619111,General
味の素,2802,A,+,安定的,SP,2786,100,549163354,1.52997E+12,98320,63045,16465,0,763443,3543,26172,165650,76889,406219,592070,667846,1431289,667846,0,620257,General
ニチレイ,2871,A,+,安定的,J1,2997,100,140041395,4.19704E+11,31603,19669,1273,0,195293,709,3547,45453,28529,98803,191388,210426,405719,210426,0,203326,General
永谷園ホールディングス,2899,BBB,+,安定的,NonSP,2120,100,19138703,40574050360,3418,2785,2025,0,54159,276,1218,5561,0,41782,32292,31034,85194,31034,0,29699,General
わらべや日洋ホールディングス,2918,BBB,+,安定的,NonSP,2324,100,17625660,40962033840,2001,4812,1673,0,37900,98,954,8338,5234,31314,44523,44372,82273,44372,0,44164,General
グンゼ,3002,A,,安定的,J1,4730,100,19293516,91258330680,3356,6155,402,0,44451,125,1306,8595,0,37982,109139,115178,159629,115178,158,113555,General
J.フロントリテイリング,3086,A,+,ネガティブ,J1,917,100,270565764,2.48109E+11,28672,50361,14122,0,899378,5580,75,56471,14729,134368,399681,364343,1263722,364343,0,352171,General
東洋紡,3101,A,,安定的,J1,1384,100,89048792,1.23244E+11,5582,19095,8923,0,302553,1283,6281,35028,0,90375,182636,188635,491188,188635,0,185729,General
ダイワボウホールディングス,3107,A,,安定的,NonSP,2204,100,96356460,2.1237E+11,36253,3405,681,0,254435,277,9789,9428,2757,81851,104741,129322,383757,129322,0,128287,General
トヨタ紡織,3116,AA,,安定的,NonSP,2200,100,187665738,4.12865E+11,57345,39947,0,0,476127,1120,15449,74483,48922,133423,321701,369650,845778,369650,0,334935,General
レスターホールディングス,3156,BBB,+,安定的,NonSP,1940,100,30072643,58340927420,4334,3100,4580,0,114127,740,3600,20133,3884,25122,73768,76258,190385,76258,9,73402,General
ユナイテッド・スーパーマーケット・ホールディングス,3222,A,,安定的,NonSP,1070,100,131681356,1.40899E+11,14904,12168,3615,0,136292,128,3147,29919,14731,222038,141695,148797,285090,148797,182,148164,General
野村不動産ホールディングス,3231,A,,ポジティブ,J1,2707,100,182320337,4.93541E+11,62820,20021,1285,0,1334956,9015,25540,63504,0,183057,565120,586350,1921306,586350,1406,583328,General
東急不動産ホールディングス,3289,A,,安定的,J1,615,100,719830974,4.42696E+11,41840,39803,2531,0,2043573,11896,12280,100411,0,164795,594246,608723,2652296,608723,0,596673,General
シップヘルスケアホールディングス,3360,A,,安定的,NonSP,2756,100,101669400,2.80201E+11,21235,3170,271,0,219394,325,7304,19772,4632,54486,104681,115103,334498,115103,0,111440,General
セブン&アイ・ホールディングス,3382,AA,,安定的,NonSP,4868,100,886441983,4.3152E+12,258776,235504,35484,0,4115497,10585,96758,539995,297859,2286692,2757222,2831335,6946832,2831335,56,2668927,General
セブン&アイ・ホールディングス,3382,A,,ネガティブ,SP,4868,100,886441983,4.3152E+12,258776,235504,35484,0,4115497,10585,96758,539995,297859,2286692,2757222,2831335,6946832,2831335,56,2668927,General
旭化成,3407,AA,,安定的,NonSP,1187,100,1393932032,1.6546E+12,150906,108369,1937,0,1424406,3209,70672,253676,133347,680709,1383460,1494535,2918941,1494535,0,1467477,General
セーレン,3569,A,,安定的,NonSP,2218,100,64633646,1.43357E+11,8199,4720,0,0,63804,49,1929,12958,3052,27895,79726,80897,144702,80897,618,79624,General
TIS,3626,A,,ポジティブ,NonSP,2835,100,263367294,7.46646E+11,44816,13318,2467,0,171642,227,16484,33345,10059,113712,247957,279429,451072,279429,0,270481,General
特種東海製紙,3708,BBB,,安定的,NonSP,4410,100,14900000,65709000000,7688,6543,3785,0,47804,197,1611,11638,7842,11087,77678,80286,128091,80286,176,73429,General
王子ホールディングス,3861,AA,-,安定的,NonSP,629,100,1014381817,6.38046E+11,80883,62758,0,0,1115831,6791,39202,127107,0,327431,831657,865606,1981438,865606,199,750981,General
日本製紙,3863,A,,ネガティブ,NonSP,1276,100,116254892,1.48341E+11,10657,63357,8584,0,1122605,7374,7949,84197,0,203653,386577,424721,1547326,424721,0,412369,General
三菱製紙,3864,BBB,-,安定的,J2,364,100,44741433,16285881612,1977,9031,987,0,146535,733,937,13014,0,22584,60527,62902,209438,62902,0,62898,General
北越コーポレーション,3865,A,,安定的,NonSP,608,100,188053114,1.14336E+11,13331,14482,114,0,167656,437,1570,23760,15526,38475,180861,195419,363075,195419,102,194703,General
大王製紙,3880,A,-,安定的,J1,1880,100,169012926,3.17744E+11,32717,34137,2575,0,603012,4311,15913,64210,54137,159580,209536,246788,849801,246788,0,239232,General
朝日印刷,3951,BBB,+,安定的,NonSP,905,100,23284929,21072860745,2317,2961,22,0,32140,87,697,4466,4358,8800,30243,31416,63557,31416,0,30999,General
住友化学,4005,A,+,安定的,J1,567,100,1655446177,9.38638E+11,137803,136017,40833,0,2508135,16091,54401,374464,0,771196,1392592,1482119,3990254,1482119,0,1019230,General
日産化学,4021,AA,-,安定的,NonSP,5340,100,144000000,7.6896E+11,45481,10346,0,0,64947,69,11076,39939,8254,87745,185528,200562,265509,200562,0,198829,General
クレハ,4023,A,,ポジティブ,J1,7160,100,20805407,1.48967E+11,17748,11672,1624,0,71402,211,7615,26704,0,42872,166623,185521,256923,185521,110,183830,General
石原産業,4028,BBB,,ポジティブ,NonSP,1115,100,40383943,45028096445,3938,5052,421,0,100506,537,315,4749,0,28622,76669,79515,180021,79515,0,79515,General
東ソー,4042,A,+,安定的,NonSP,1914,100,325080956,6.22205E+11,95061,40462,32,0,321096,1335,13341,95106,0,204387,609660,661679,982776,661679,213,615571,General
トクヤマ,4043,A,,安定的,NonSP,2310,100,72088327,1.66524E+11,30959,17003,825,0,181533,1524,4750,43314,23800,95152,180429,205261,386794,205261,0,198561,General
セントラル硝子,4044,A,-,安定的,J1,2205,100,42975995,94762068975,4858,12850,2814,0,115822,433,538,17918,7479,38600,164339,169083,284906,169083,0,165574,General
デンカ,4061,A,+,安定的,J1,3780,100,88555840,3.34741E+11,29052,22418,0,0,255998,821,5192,40610,36828,100194,254014,270036,526035,270036,0,267448,General
信越化学工業,4063,AA,+,ポジティブ,NonSP,17750,100,416662793,7.39576E+12,402145,143807,936,0,493990,728,101402,401176,236195,543702,2723141,2886625,3380615,2886625,2014,2813138,General
エア・ウォーター,4088,A,+,安定的,NonSP,1635,100,229755057,3.7565E+11,49639,39033,0,0,554431,2108,15251,76601,50316,180895,351815,372389,926821,372389,325,357797,General
日本酸素ホールディングス,4091,A,+,安定的,J1,2415,100,433092837,1.04592E+12,77706,86380,2022,0,1292394,12554,17860,149231,60075,317439,440693,543900,1836294,543900,0,513164,General
三井化学,4183,A,+,安定的,J1,3475,100,204653315,7.1117E+11,74243,76621,8050,0,875968,4634,7764,174323,74904,293842,609707,682157,1558125,682157,0,607921,General
三菱ケミカルグループ,4188,A,+,安定的,NonSP,916,100,1506288107,1.37976E+12,32908,243793,127193,0,3716080,21404,35185,467133,246410,926249,1450829,1571148,5287228,1571148,0,1236339,General
ダイセル,4202,A,+,安定的,NonSP,908,100,302942682,2.75072E+11,33040,26323,3786,0,395384,1195,6591,57869,34698,111431,392583,245000,640385,245000,0,237852,General
住友ベークライト,4203,A,+,安定的,J1,4745,100,49590478,2.35307E+11,16139,12259,3100,0,143622,363,2613,27405,8956,63363,179154,202141,345763,202141,0,200205,General
アイカ工業,4206,A,,安定的,NonSP,3850,100,67590664,2.60224E+11,18159,5773,0,0,56858,138,6577,19713,5560,49532,146221,150505,207363,150505,27,134781,General
UBE,4208,A,,安定的,J1,2194,100,106200107,2.33003E+11,22433,36382,55,0,389075,931,7518,66054,0,104562,354447,380635,769710,380635,547,359013,General
野村総合研究所,4307,A,,安定的,SP,3520,100,610696500,2.14965E+12,71075,40911,2220,0,323329,1005,32464,84594,7634,185798,264727,333206,656536,333206,0,330495,General
ハリマ化成グループ,4410,BBB,+,安定的,NonSP,905,100,26080396,23602758380,2316,2353,342,0,31948,261,782,3007,2226,14962,37745,37441,69390,37441,0,34566,General
武田薬品工業,4502,BBB,+,安定的,SP,3682,100,1582252525,5.82585E+12,376171,559671,25452,0,7735116,130806,201687,1010931,111206,2203504,4727486,5177177,12912293,5177177,0,5173037,General
武田薬品工業,4502,A,+,安定的,J1,3682,100,1582252525,5.82585E+12,376171,559671,25452,0,7735116,130806,201687,1010931,111206,2203504,4727486,5177177,12912293,5177177,0,5173037,General
アステラス製薬,4503,AA,+,安定的,NonSP,1739,100,1861787075,3.23765E+12,145324,72652,100348,0,887513,2118,17870,306843,31384,1003465,1289168,1386115,2273628,1386115,745,1386115,General
ロート製薬,4527,A,+,安定的,NonSP,2879,100,118089155,3.39979E+11,23006,6376,1609,0,69178,145,7771,20008,8721,106726,140032,156612,225790,156612,382,155526,General
栄研化学,4549,BBB,+,安定的,NonSP,2277,100,43541438,99143854326,6870,1711,0,0,14012,2,1172,5451,1554,18526,37303,41672,55685,41672,296,41376,General
藤倉化成,4620,BBB,+,安定的,NonSP,497,100,32716878,16260288366,1897,1447,0,0,17290,39,727,1594,1221,13636,36386,36504,53795,36504,0,33870,General
オリエンタルランド,4661,AA,,安定的,NonSP,14950,100,363690160,5.43717E+12,67804,45899,5633,0,280517,353,389,23834,111607,902,820257,759948,1040465,759948,0,759948,General
リゾートトラスト,4681,BBB,+,安定的,NonSP,1799,100,108520799,1.95229E+11,6953,11331,22034,0,286451,444,1981,22981,14070,129684,132991,120791,407243,120791,313,115580,General
Zホールディングス,4689,AA,-,安定的,NonSP,547,100,7656261195,4.18797E+12,142615,102080,12788,0,3707082,1,49483,207921,28578,773400,1047823,2989597,6696680,2989597,0,2682318,General
富士フィルムホールディングス,4901,AA,-,安定的,SP,7831,100,514625728,4.03003E+12,181205,123423,0,7638,1327046,2578,0,420861,100063,869691,1993757,2222157,3549203,2222157,0,2204566,General
コニカミノルタ,4902,A,+,ネガティブ,NonSP,560,100,502664337,2.81492E+11,20000,77568,856,0,749049,7866,2957,78060,25674,374654,533766,550703,1299752,550703,551,539888,General
高砂香料工業,4914,A,-,安定的,NonSP,2716,100,20152397,54733910252,8570,6554,0,0,83163,502,1029,13733,6057,45054,94775,101349,184512,101349,0,99978,General
荒川化学工業,4968,A,-,安定的,NonSP,1187,100,20652400,24514398800,3842,2980,0,0,47166,138,538,3685,5425,16688,54027,58590,105757,58590,0,57229,General
出光興産,5019,A,+,安定的,J1,2574,100,297864718,7.66704E+11,64582,98158,20164,0,2739306,11982,7620,170466,121064,559028,1200564,1215136,3954443,1215136,0,1150930,General
ENEOSホールディングス,5020,AA,-,安定的,J1,460,100,3230282649,1.48593E+12,230891,326899,160038,0,5306250,25425,25192,679094,267846,1083750,2707908,2752568,8058818,2752568,0,2325108,General
コスモエネルギーホールディングス,5021,BBB,+,安定的,J2,2538,100,84770508,2.15148E+11,93648,53564,267,0,1259897,7225,11560,167445,0,232666,362839,449120,1709017,449120,0,324947,General
住友理工,5191,A,,安定的,J1,804,100,104042806,83650416024,608,31977,1615,0,208031,877,4461,29830,0,57888,167668,171471,379502,171471,0,152636,General
日本板硝子,5202,BB,+,安定的,J3,600,100,90926699,54556019400,16316,35768,2290,0,745201,12306,3406,21053,39201,117139,88194,79762,824963,79762,556,62937,General
住友大阪セメント,5232,A,,安定的,J1,3120,100,38643217,1.20567E+11,17023,18766,1133,0,123823,614,4240,32797,0,51045,198699,205827,329650,205827,0,203731,General
太平洋セメント,5233,A,,ポジティブ,J1,2540,100,121985078,3.09842E+11,65105,52683,969,0,537405,3498,10579,110403,0,191272,473241,506821,1044227,506821,0,470922,General
日本特殊陶業,5334,AA,-,安定的,J1,1605,100,204175320,3.27701E+11,52001,34700,464,0,319666,850,7162,63397,26972,130214,399737,451626,771293,451626,0,448831,General
黒崎播磨,5352,A,-,安定的,J1,4880,100,9114528,44478896640,6539,2814,162,0,67065,242,684,10080,0,20556,57233,63288,130354,63288,0,60087,General
ニチアス,5393,A,,安定的,NonSP,2771,100,67811917,1.87907E+11,17532,6536,3515,0,83151,170,5862,18683,8068,46064,127233,136450,219602,136450,0,135429,General
日本製鉄,5401,AA,-,安定的,J1,1892,100,950321402,1.79801E+12,8656,290863,0,0,4442559,22298,26731,403185,0,565332,2996631,3131387,7573946,3131387,0,2759996,General
日本製鐵,5401,BBB,,ポジティブ,SP,1892,100,950321402,1.79801E+12,-8656,290863,0,0,4442559,22298,26731,403185,0,565332,2996631,3131387,7573946,3131387,0,2759996,General
神戸製鋼所,5406,A,-,安定的,J1,728,100,364364210,2.65257E+11,18748,100856,13509,0,1813498,11526,8960,194798,0,223188,716369,769375,2582873,769375,0,710362,General
JFEホールディングス,5411,AA,-,安定的,J1,1326,100,614438399,8.14745E+11,4930,236353,0,0,2894818,13844,10972,247274,0,314519,1706552,1760154,4654972,1760154,0,1679223,General
共英製鋼,5440,A,-,安定的,NonSP,1415,100,44898730,63531702950,12735,8402,0,0,117699,1310,5998,15191,9353,28258,158044,164583,282282,164583,0,154429,General
大阪製鐵,5449,A,,安定的,NonSP,1184,100,42279982,50059498688,1552,3610,0,0,46727,394,2089,4187,0,8114,148394,148514,195242,148514,0,146307,General
丸一鋼管,5463,AA,-,安定的,NonSP,2635,100,94000000,2.4769E+11,20509,5828,351,0,53275,154,4355,24355,0,31920,267282,276977,330252,276977,162,269236,General
日本冶金工業,5480,BBB,,ポジティブ,NonSP,2362,100,15497333,36604700546,4740,3975,0,0,106103,511,737,11182,0,17054,51131,55127,161230,55127,0,55122,General
山陽特殊製鋼,5481,A,,安定的,J1,1826,100,54507307,99530342582,9519,14187,3929,0,139472,640,1277,22313,19175,22772,182202,179887,319360,179887,0,178393,General
愛知製鋼,5482,A,,安定的,NonSP,2897,100,19886675,57611697475,4717,16963,66,0,134323,149,3159,14793,13083,26763,163691,179716,314040,179716,0,169812,General
三菱製鋼,5632,BBB,,安定的,NonSP,1074,100,15709968,16872505632,6345,3238,185,0,87547,1173,636,3777,3945,7483,48315,44773,132320,44773,0,38897,General
大紀アルミニウム工業所,5702,BBB,+,安定的,NonSP,1207,100,43629235,52660486645,8958,2901,0,0,53782,385,1705,4521,4777,16130,38691,43785,97567,43785,145,43089,General
日本軽金属ホールディングス,5703,A,-,安定的,NonSP,1918,100,61993750,1.18904E+11,7830,19157,0,0,299851,1033,4764,41942,24246,90069,201198,207104,506955,207104,0,190712,General
三井金属鉱業,5706,A,-,ポジティブ,J1,3105,100,57296616,1.77906E+11,54714,33882,329,0,384546,1670,5854,27565,26435,102219,173255,210560,595107,210560,0,198969,General
東邦亜鉛,5707,BBB,-,安定的,J2,1876,100,13585521,25486437396,7057,4594,2024,0,72171,558,327,4313,2732,13439,36309,41464,113635,41464,0,41464,General
三菱マテリアル,5711,A,-,安定的,J1,2274,100,131489535,2.99007E+11,43341,61962,3532,0,1421151,4416,15175,78442,76825,172349,586034,614394,2035546,614394,0,545233,General
住友金属鉱山,5713,AA,-,安定的,J1,4418,100,290814015,1.28482E+12,123379,45729,262,0,663016,3757,8385,91522,39267,150876,1110860,1222983,1885999,1222983,0,1113923,General
DOWAホールディングス,5714,A,+,安定的,J1,4235,100,61989206,2.62524E+11,38860,20050,2252,0,321755,910,14496,3088,33487,75848,258241,276715,598471,276715,0,265705,General
古河機械金属,5715,BBB,,ポジティブ,J2,1277,100,40445568,51648990336,9907,3879,0,0,123910,456,1199,6042,3403,22194,77966,94364,218275,94364,0,91770,General
UACJ,5741,BBB,+,安定的,J2,2872,100,48328193,1.38799E+11,3473,30007,3091,0,536514,6352,1485,38623,22898,65574,202716,196445,732960,196445,0,183063,General
住友電気工業,5802,AA,,安定的,J1,1548,100,793940571,1.22902E+12,110340,168040,10051,0,1489408,5404,26096,169656,166831,531343,1766647,1892506,3381914,1892506,0,1628806,General
住友電気工業,5802,A,,安定的,SP,1548,100,793940571,1.22902E+12,110340,168040,10051,0,1489408,5404,26096,169656,166831,531343,1766647,1892506,3381914,1892506,0,1628806,General
三和ホールディングス,5929,A,+,安定的,J1,1324,100,231000000,3.05844E+11,31509,10010,283,0,193771,514,10708,50144,0,127223,165633,181387,375159,181387,279,179828,General
LIXIL,5938,A,+,安定的,NonSP,2974,100,313319159,9.31811E+11,59295,84786,8840,0,1187047,5433,25259,151043,54959,469220,535137,554767,1741814,554767,0,552271,General
東プレ,5975,A,,安定的,NonSP,1575,100,54021824,85084372800,16609,20429,0,0,144158,376,3623,24718,33418,25103,149395,165632,309790,165632,0,162143,General
リクルートホールディングス,6098,A,,安定的,SP,5629,100,1695960030,9.54656E+12,168502,119991,0,0,1095324,1,38117,286597,14015,1145693,995743,1101289,2196613,1101289,0,1091571,General
牧野フライス製作所,6135,A,-,安定的,NonSP,4100,100,24893841,1.02065E+11,2399,6876,130,0,118023,291,900,18036,5394,26930,151703,161992,280015,161992,0,161185,General
ディスコ,6146,AA,-,安定的,NonSP,31150,100,36065471,1.12344E+12,53434,6815,0,0,76674,55,6860,56709,21026,106883,226890,252352,329026,252352,937,251203,General
日本郵政,6178,AA,+,安定的,NonSP,929,100,3767870229,3.50035E+12,694525,286283,93545,0,281667063,13287,168644,6965155,172376,11720403,12616774,16071067,297738131,16071067,0,13794362,General
豊田自動織機,6201,A,+,安定的,SP,9140,100,325840640,2.97818E+12,184011,209839,3008,0,3181436,5430,52605,382386,222360,490407,2520537,3322550,6503986,3322550,0,3236038,General
瑞光,6279,BBB,+,安定的,NonSP,982,100,28800000,28281600000,2118,388,0,0,14844,11,376,1817,8101,4446,26110,27480,42325,27480,116,27364,General
コマツ,6301,A,,安定的,SP,2829,100,972887610,2.7523E+12,106237,133126,2403,5288,1772816,13766,0,354129,0,581055,1856225,2012025,3784841,2012025,0,1912297,General
住友重機械工業,6302,A,+,安定的,NonSP,3010,100,122905481,3.69945E+11,43775,29746,5769,0,525756,954,15534,64131,0,185449,477648,504928,1030684,504928,0,490698,General
月島機械,6332,A,-,安定的,NonSP,1158,100,45625800,52834676400,2910,2450,2777,0,72331,151,2139,10084,4140,20566,67356,71784,144116,71784,0,70468,General
新東工業,6339,BBB,+,安定的,NonSP,810,100,54580928,44210551680,1947,3052,1251,0,60077,142,997,8088,3259,25177,99849,104124,164201,104124,0,98918,General
ダイキン工業,6367,AA,,ポジティブ,NonSP,22665,100,293113973,6.64343E+12,238543,103543,225,0,1541167,8791,67588,374691,104971,864136,1462591,1698495,3239662,1698495,2019,1665689,General
トーヨーカネツ,6369,BBB,,安定的,NonSP,2374,100,9323074,22132977676,2892,776,1047,0,22280,59,804,1482,0,9247,34602,36484,58764,36484,0,36484,General
椿本チエイン,6371,A,,安定的,J1,3315,100,38281393,1.26903E+11,12159,12682,0,0,119838,320,3810,27890,0,47634,176055,187494,307332,187494,0,185791,General
日本精工,6471,A,+,安定的,NonSP,899,100,551268104,4.9559E+11,5889,54527,0,0,594070,2739,9880,53842,33797,126240,526518,573428,1167498,573428,0,554375,General
ミネベアミツミ,6479,A,+,ポジティブ,J1,2935,100,427080606,1.25348E+12,49527,48628,0,0,522773,1614,9088,93763,44195,167592,402276,453998,976771,453998,0,451141,General
日本トムソン,6480,BBB,+,安定的,NonSP,659,100,73501425,48437439075,125,3833,125,0,41521,117,562,5658,2950,11645,57439,59425,100946,59425,148,59277,General
日立製作所,6501,AA,,安定的,NonSP,6258,100,968234877,6.05921E+12,518510,491663,109009,0,7394621,22778,188966,793128,254750,2195306,4266739,4458232,11852853,4458232,0,3525502,General
日立製作所,6501,A,,ネガティブ,SP,6258,100,968234877,6.05921E+12,518510,491663,109009,0,7394621,22778,188966,793128,254750,2195306,4266739,4458232,11852853,4458232,0,3525502,General
東芝,6502,BBB,+,安定的,J2,4700,100,455280690,2.13982E+12,113981,85211,0,8485,2196106,4549,0,145145,117461,823559,1076426,1304530,3500636,1304530,0,1164534,General
東芝,6502,BB,+,ネガティブ,SP,4700,100,455280690,2.13982E+12,113981,85211,0,8485,2196106,4549,0,145145,117461,823559,1076426,1304530,3500636,1304530,0,1164534,General
富士電機,6504,A,,安定的,NonSP,4760,100,149296991,7.10654E+11,63284,36194,963,0,590698,1441,10374,26931,20578,221266,406002,461254,1051952,461254,0,416997,General
明電舎,6508,A,-,安定的,J1,2367,100,45527540,1.07764E+11,11303,9918,176,0,179322,484,3747,14601,0,57901,90117,99736,279059,99736,0,96535,General
日本電産,6594,AA,,安定的,NonSP,12240,100,596284468,7.29852E+12,122617,96802,0,185,1142098,5575,27905,219156,88911,366558,967633,1113969,2256067,1113969,0,1096054,General
オムロン,6645,A,,安定的,SP,9320,100,206244872,1.9222E+12,43307,22756,1976,1164,211021,1,0,93831,0,298351,532589,609358,820379,609358,0,606858,General
