会社名,コード,格付,格付2,クレジットウォッチ,DmySP,株価終値,売買単位,発行株式数,企業価値,営業純利益,減価償却費,減損損失,繰延法人税,負債合計,利子支払,税支払,営業活動からのキャッシュフロー,設備投資費用,売上総収益,期首資本,期末資本,総資産,純資産,新株予約権,自己資本,企業分類
高知銀行,8416,BBB,,安定的,NonSP,800,100,17744800,14195840000,1814,825,6,0,1169200,466,709,80494,1099,22904,19544,19544,1244933,75732,38,72517,Bank
信金中央金庫,8421,AA,,安定的,NonSP,239500,1,708222,1.69619E+11,43426,10259,0,0,42116207,97318,16472,2416674,2729,260993,690998,690998,43843528,1727321,0,1714679,Bank
信金中央金庫,8421,A,,安定的,SP,239500,1,708222,1.69619E+11,43426,10259,0,0,42116207,97318,16472,2416674,2729,260993,690998,690998,43843528,1727321,0,1714679,Bank
芙蓉総合リース,8424,A,+,安定的,J1,7140,100,30287810,2.16255E+11,47960,46149,1,0,2634488,10432,9277,35080,4177,82744,311819,344796,2979285,344796,704,304565,General
みずほリース,8425,A,+,ポジティブ,NonSP,3630,100,49004000,1.77885E+11,31563,15796,0,0,2392337,8993,7978,196820,3195,51347,195780,210852,2603190,210852,0,200615,General
東京センチュリー,8439,BBB,,安定的,SP,6000,100,123028320,7.3817E+11,79847,191280,9942,0,4914552,46938,34885,51331,4726,200982,660145,688345,5602897,688345,2504,570173,General
東京センチュリー,8439,AA,-,ポジティブ,J1,6000,100,123028320,7.3817E+11,79847,191280,9942,0,4914552,46938,34885,51331,4726,200982,660145,688345,5602897,688345,2504,570173,General
日本証券金融,8511,AA,-,安定的,J1,817,100,96000000,78432000000,5601,1356,0,0,12001062,3630,2864,164459,133,12906,126687,135166,12136229,135166,0,135166,General
日本証券金融,8511,A,,安定的,SP,817,100,96000000,78432000000,5601,1356,0,0,12001062,3630,2864,164459,133,12906,126687,135166,12136229,135166,0,135166,General
アイフル,8515,BBB,,安定的,NonSP,343,100,484620136,1.66225E+11,18149,3418,1064,0,715662,3,2910,20280,1722,127481,128931,147692,863354,147692,0,145556,General
