"n","x","y"
"157",2753.9,0.284562983405352
"158",2764.629,0.273462732250873
"159",2769.53,0.277886139525479
"160",2771.412,0.283702675747958
"161",2773.647,0.305983782363076
"162",2774.62,0.290077920580116
"163",2775.25,0.298766237275921
"164",2776.533,0.306876237379494
"165",2785.902,0.309673132795052
"166",2786.852,0.290056307259948
"167",2786.996,0.282256953364842
"168",2788.354,0.305596778601282
"169",2797.392,0.282803768653088
"170",2802.533,0.306236893553082
"171",2811.119,0.304456339272724
"172",2819.675,0.308879569453926
"173",2827.995,0.277074747303301
"174",2836.773,0.285870600150241
"175",2837.27,0.299507272836212
"176",2837.728,0.277019855320876
"177",2839.013,0.315034837811592
"178",2840.669,0.288320110509179
"179",2844.451,0.306945698836085
"180",2844.768,0.272968129562762
"181",2852.979,0.309655276116649
"182",2860.602,0.280475228640685
"183",2866.443,0.283498747402268
"184",2871.85,0.297754060971151
"185",2884.138,0.298437176029718
"186",2887.785,0.306415470680816
"187",2899.419,0.300527105602881
"188",2899.835,0.288755394703492
"189",2925.252,0.272612410828195
"190",2933.667,0.293829190565937
"191",2934.968,0.298604959236353
"192",2944.708,0.29796706498573
"193",2951.141,0.297084415824252
"194",2952.113,0.275117517520501
"195",2952.74,0.293038330499807
"196",2955.23,0.308478527897998
"197",2957.209,0.283478103847242
"198",2959.121,0.268859570122344
"199",2962.601,0.299632653874079
"200",2962.785,0.273540267012287
"201",2966.533,0.288055113494439
"202",2967.282,0.304976743026109
"203",2971.194,0.268512254669335
"204",2972.871,0.267628834214468
"205",2974.472,0.274825918684056
"206",2978.103,0.304010304546216
"207",2986.088,0.297697857531325
"208",2992.803,0.270200878574367
"209",2995.942,0.269818641348865
"210",2996.582,0.266878063073195
"211",3000.096,0.298943767132785
"212",3005.132,0.272560739428418
"213",3005.15,0.294057201803571
"214",3005.375,0.274133178055983
"215",3006.863,0.273741104932283
"216",3009.019,0.299249356684022
"217",3010.52,0.294649429334467
"218",3017.585,0.305507218520771
"219",3021.27,0.280532358908671
